Date,Content,Comment
2025-06-16,https://boxd.it/a0Ji1B,"Yeah, I agree with you. Deep down, Velu nicker was a good man. But driven by love and a sense of justice."
2025-07-24,https://boxd.it/aaz4Gb,Thanks buddy..🙏🙏
2025-07-26,https://boxd.it/atZ4IT,Finally you watched...
2025-07-26,https://boxd.it/8MHpDz,"Oh interesting, I didn’t know it was adapted from a novel!
and I just checked its adapted from Keshav Prasad Mishra's ""Kohbar Ki Shart"""
2025-07-29,https://boxd.it/awBPIv,😂😂😂
2025-08-01,https://boxd.it/aykxdj,🙌👍🏻👍🏻
2025-08-26,https://boxd.it/aRdexh,"mat kar lala mat kar...
Jokes aside, watch it. its not bad. i just had high expectations from this. u may like it."
2025-09-09,https://boxd.it/b0JqJp,"If you love your neck don't watch his climax or enter the void.
This guy hates camera stand."
2025-09-11,https://boxd.it/b1k5fd,@yuvraj Bhai kuch scenes me comedy he lekin horror nai. universe end kar rahe ho to kuch grand hona chahiye. end me power of family (Vin Diesel) he bas.
2025-09-20,https://boxd.it/b5Fp2V,Cinema on its peak
2025-09-24,https://boxd.it/b8BnMr,"@akankshaswh  If that happens, Scorsese will start making item numbers 💃🤣 "
2025-10-02,https://boxd.it/9IL1aN,@Yuvraj  👍👍🙏
2025-10-05,https://boxd.it/bf3nwD,@Yuvraj. 👍🏻👍🏻
2025-11-13,https://boxd.it/aEubyt,"First half was so good in build up, but it goes straight down in second half."
2025-11-20,https://boxd.it/bCxjIR,"મૂવી નો મેસેજ સમજાયો, પણ સ્ક્રિપ્ટ રાઇટિંગ માં પણ કામ કરવું પડે ને ..!!"
2025-12-09,https://boxd.it/aANibj,its an ABSOLUTE CINEMA...
2026-02-21,https://boxd.it/cGeXej,@GOLU can't lie about Mahima Choudhary..🥰
2026-03-05,https://boxd.it/domF8J,One of the best movie..👍👍
2026-04-14,https://boxd.it/dYmKRN,@sanchita Damn… taste recognizes taste
2026-04-17,https://boxd.it/e00xv9,Shoutout to the man who came up with that meow sound effect..!!
2026-04-29,https://boxd.it/e9AcO3,damn this is so well written
