Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-07-23,Special Ops- S02,,,3.5,,"KK menon delivers as always. 1st episode was so good and the final episode feels so rushed, like they run out of budget for 1 more episode.
That jignesh dholakiya subplot..?? Total fillers.
Villain..? Nowhere near ikhlaq khan's league.
Visually stunning through, every 15 min we are in a new country with drone shots.",,2025-07-23
2026-05-21,The Boys: The Finale,2026,,4.5,,"It all starts with robin and ends with robin.
Maybe the finale wasn’t perfect, maybe it was a bit mid… but the journey? Bloody unforgettable...🔥🔥🔥
Through all the chaos, gore, madness, and heartbreak, this show gave us one hell of a ride.
I’m gonna miss these absolute cunts.

<b>OI, FUCK OFF, YOU CUNTS..</b>",2160p,2026-05-21
